,Unnamed: 0,count_LAIONScore,mean_LAIONScore,std_LAIONScore,min_LAIONScore,25%_LAIONScore,50%_LAIONScore,75%_LAIONScore,max_LAIONScore,skew_LAIONScore,kurtosis_LAIONScore,RatingScore_mean,RatingScore_std,Clipscore_mean,Clipscore_std,Artifact_mean,Artifact_std,name
97,LAIONScore,32.0,6.599899173,0.212846811,6.026547909,6.486059785,6.608992338,6.727668405,7.029463768,-0.35396507,0.264543337,7.161148205,0.584820674,0.239852905,0.011599279,1.989831012,0.329607004,majicmixRealistic_v6.safetensors-15
98,LAIONScore,32.0,6.638778016,0.200749861,6.225439548,6.525992751,6.676617146,6.762345076,6.942000866,-0.402649625,-0.584729117,7.107584,0.543526311,0.254322052,0.016783083,2.122850608,0.409015957,majicmixRealistic_v6.safetensors-16
99,LAIONScore,32.0,6.764801323,0.188258742,6.405968189,6.636695981,6.772548437,6.927473903,7.079496384,-0.184070241,-0.905184903,7.0776283,0.55424839,0.285209656,0.015782013,2.0226532,0.198090231,majicmixRealistic_v6.safetensors-17
100,LAIONScore,32.0,6.697189763,0.219404736,6.286196232,6.522732973,6.740467548,6.890738487,7.050717354,-0.089648063,-1.112608428,6.923506007,0.474868746,0.292991638,0.016689222,2.363989472,0.265792133,majicmixRealistic_v6.safetensors-18
101,LAIONScore,32.0,6.159404904,0.273104375,5.412085533,5.926224113,6.190300941,6.363590956,6.736536026,-0.300912066,0.254159899,5.991117179,0.98197889,0.190982819,0.026765221,2.316680439,0.406610348,majicmixRealistic_v6.safetensors-19
102,LAIONScore,32.0,6.744996592,0.246393612,6.089166641,6.587302208,6.770534992,6.882011294,7.3079772,-0.141008971,0.456257321,7.49576892,0.421813126,0.269870758,0.011768582,1.813251171,0.234843382,majicmixRealistic_v6.safetensors-2
103,LAIONScore,32.0,6.629781932,0.22479148,6.224378586,6.467080116,6.623196602,6.803700328,7.068621159,0.205827353,-0.760324354,7.082342818,0.460325819,0.197620392,0.025557472,2.087960389,0.27623603,majicmixRealistic_v6.safetensors-20
104,LAIONScore,32.0,6.545092627,0.125843834,6.237662315,6.451924205,6.551701307,6.615005851,6.773079872,-0.110846106,-0.319884878,7.100361884,0.401885435,0.220031738,0.015645907,2.201861333,0.191418225,majicmixRealistic_v6.safetensors-21
105,LAIONScore,32.0,6.556524485,0.288538325,5.906866074,6.376834393,6.535700321,6.758689642,7.410111427,0.451346436,1.070536521,7.707773566,0.89273981,0.273849487,0.034874873,1.527214807,0.523143763,majicmixRealistic_v6.safetensors-22
106,LAIONScore,32.0,6.394756019,0.333791843,5.672550201,6.141091824,6.4243083,6.631105304,7.092888832,0.002888697,-0.5828632,5.090403959,0.545784946,0.224910736,0.01896107,3.022536948,0.252446998,majicmixRealistic_v6.safetensors-23
107,LAIONScore,32.0,6.646361664,0.443059598,5.431608677,6.555611849,6.78505373,6.898346543,7.207735062,-1.344051113,0.994677536,6.227367342,0.607608913,0.260967255,0.022403002,2.307701398,0.334851888,majicmixRealistic_v6.safetensors-24
